link,title,content
http://help.remotepass.com/en/articles/6613369-perks-unlock-200-deals-and-discounts-on-your-favorite-tools-and-software,Perks: Unlock 200+ deals and discounts on your favorite tools and software!,"Perks: Unlock 200+ deals and discounts on your favorite tools and software!

RemotePass Perks provides you with instant access to 200+ deals and thousands of dollars worth of savings on must-have software and services. From cloud hosting to e-mail marketing, we have it all covered (Amazon Web Services, CallHippo, Revolut, Maze, and so on).

This feature is available for clients meeting the following requirements:
- Company details are verified (KYB)
- 5 or more active contracts on RemotePass
- At least one transaction in the past 30 days

If you are eligible, you will be able to request access from within your account. The approval and confirmation will follow immediately after.

The redemption process is different for each offer. Please read carefully the guidelines and descriptions after you click on ""Get the perk"".

If you have any questions, don't hesitate to chat with our support team via Direct Chat on RemotePass or by email at support@remotepass.com."
http://help.remotepass.com/en/articles/10330355-how-to-integrate-with-okta,How to integrate with Okta,"# How to integrate with Okta

Enable Single Sign-On (SSO) with Okta

Written by Nuno Oliveira Silva  
Updated over 2 months ago

_Check the sections below for detailed step-by-step instructions._

## Connecting Okta
To enable users to log in to your company account on RemotePass using Okta’s Single Sign-On (SSO), follow the steps below:
1. Go to the **Integrations** tab under Company Settings.
2. Find the Okta integration and click **Enable.**
3. **Add RemotePass to Okta**, using the provided `Callback URL`. This step is required to proceed with the setup in RemotePass.
4. Enter the **Okta Metadata URL** with the necessary configuration details for SSO.
5. Click **Enable** to finalize the setup. Okta is now successfully connected to your company account on RemotePass.

## Signing-in with Okta
To log in using your Okta credentials, follow the steps below:
1. On the login page, select **Continue with Okta**.
2. Enter the email address associated with your RemotePass account.
3. If you have access to multiple companies, select the relevant company to sign in.
4. Enter your Okta credentials and sign in.
5. Optionally, select **Keep me signed in** for added convenience.

You are now logged into RemotePass. Alternatively, you can use **Okta’s dashboard** or the **Google Chrome plugin** for seamless access.

## FAQ
**Who can use Okta to sign in to RemotePass?**  
Currently, only **Client accounts** can use Okta SSO for login. Workers typically sign in with their personal email addresses. Support for worker accounts to log in via Okta will be available in the future."
http://help.remotepass.com/en/articles/10021964-how-to-automate-reminders,How to Automate Reminders?,"# How to Automate Reminders?

Learn how to set up custom company reminders.

## Adding an Automation
To create an automation using a **template**, follow the steps below:
1. Go to the **Automations** tab in Company Settings and select a predefined **template**.
2. Review and customize the automation by editing filters and actions, if required.
3. **Save** and/or **Publish.**

Alternatively, you can **create** an automation from **scratch**:
1. Go to the Automations tab in Company Settings and click on **Add automation**.
2. Set up a trigger and configure the necessary filters. Available fields depend on the trigger category.
3. Add at least one action, such as **Send Email** or **Send Slack Message**.
4. Optionally, include additional actions or delay steps as needed.
5. **Save** and/or **Publish.**

Add filters to tailor the automation trigger to your needs, e.g., only automate work anniversary messages for full-time employees.

## Editing an Automation
To modify an existing automation, go to the Automation list and click on an automation:
- For **unpublished** automations, you can freely edit and save steps and filters.
- For **published** automations, changes require you to either publish the updated version or unpublish the automation before saving.

When modifying an existing trigger, incompatible filters and placeholders will be removed. E.g., Time off related filters and placeholders, when the trigger is changed to 'Contract activated'.

## Setting up Actions
To configure actions, open the Automation list and select an automation:
1. Click on **Add Action** and choose from two types of actions: **Send Email** and **Send Slack Message**.
2. Schedule actions to ensure optimal timing.
3. At least **one** **action** is **required** for the automation to be published.
4. To send **Slack** messages, ensure a **workspace** is connected.
5. Choose between Direct Messages or messages to Channels.

Placeholders can be added to the message body in order to create dynamic content, e.g., Worker name, Contract ID. The available fields depend on the trigger category.

## Setting up Delays
To configure delays, open the Automation list and select an automation:
1. Click on **Add Delay**.
2. Fill in the number of days to configure the delay step. The maximum allowed is 30 days.

## FAQ
**What happens to ongoing runs when an automation is modified?**
When a published automation is edited, unpublished, or deleted, all **pending** **runs** **are** **canceled**. Pending runs occur under these conditions:
- Triggers with time-based attributes (e.g., payments due in 3 days).
- Delay steps (e.g., waiting for 3 days).
- Scheduled actions (e.g., sending an email tomorrow).

**Are there any limits to the automation steps?**
Yes, the following limits apply:
- Maximum number of **actions**: 4.
- Maximum number of **delays**: 3.
- Maximum **days** **per** **delay**: 30 days.

**Who can set up automations?**
Clients with editing rights to the Automations section under the Company Settings can create and modify automations. Automations created by other users are also visible and editable.

## Triggers list
### Contract
- **Pending worker signature**: When the worker has not signed the contract after X days.
- **Pending company signature**: When the company has not signed the contract after X days.
- **Contract activated**: When the contract status changes to Ongoing.
- **Contract terminated**: When the contract status changes to Terminated.
- **Contract amended**: When the contract status changes to Pending Amendment.

### People
- **Direct manager changed**: When a direct manager is assigned to a contract.
- **Job role changed**: When a worker's title or role is updated in a contract.
- **Work anniversary**: Triggered X days before or after the worker anniversary.
- **Upcoming contract start**: Triggered X days before or after the contract’s start date.
- **Birthday**: Triggered X days before or after the worker’s birthday.

### Time off
- **Upcoming time off**: Triggered X days before or after the start date of an approved time off request.
- **Ending time off**: Triggered X days before or after the end date of an approved time off request.
- **Pending time off approval**: When a time off request remains in pending status for more than X days.
- **Negative time off balance**: When the time off balance remains negative for more than X days.

### Payment
- **Pending due payment approval**: When one or more due payments remain pending approval for more than X days.
- **Paid payment**: When a company transaction status changes to paid.
- **Pending overdue payment**: When one or more payments remain overdue for more than X days.
- **New adjustment**: When an adjustment is submitted with an amount greater than or equal to a specified value.

### Expenses
- **New expense**: When an expense is submitted with an amount greater than or equal to a specified value.
- **Paid payment**: When an expense remains in pending status for more than X days.

### Submitted works
- **New work**: When a worker submits work with an amount greater than or equal to a specified value.
- **Pending work approval**: When a submitted work remains in pending status for more than X days.

### Documents
- **Pending worker document**: When the document requested from the worker remains in pending status for more than X days.
- **Pending client document**: When the document requested from the Client remains in pending status for more than X days."
http://help.remotepass.com/en/articles/5661249-how-to-cancel-approved-time-off,How to cancel approved time off?,"**How to cancel approved time off?**

Learn how to cancel approved time off in a few clicks.

As a client, you can easily delete time off that's already been approved.

1. Open the **contract details** and select the **time off** tab.
2. Click on the three dots corresponding to the approved time-off that you would like to cancel, then click on the **cancel** button.
3. A pop-up window will prompt you to confirm your cancellation. If you wish to proceed, simply click on **cancel time off.**

That's it, any associated deductions with this time off will be canceled from your payments.

💡 The approver is the only one that has the ability to cancel an approved time off."
http://help.remotepass.com/en/articles/5598100-how-to-set-a-different-email-for-notifications,How to set a different email for notifications?,"How to set a different email for notifications?

As an Approver, you receive email notifications whenever your team members submit time-off, expenses, or timesheets. However, you have the ability to set a different email to receive these notifications.

* Go to **Profile Settings** and select the **Notifications** tab.
* **Tick the box** ""send notifications to this email.""
* Add the **email address** to which you wish to send the notifications.

Below is a short step-by-step video to help you set it up:"
http://help.remotepass.com/en/articles/5584875-how-to-set-up-a-recurring-expense,How to set up a recurring expense?,"**How to set up a recurring expense?**

Lean how you can add recurring expenses for your remote team members.

As a client, you have the ability to add recurring expenses for your remote team.

1. Open the **contract page**.
2. Find **recurring expenses** under the **settings** tab.
3. Set up your recurring expense as you click on the **add new** button.
4. Select a **name, category, amount, occurrence,** and **start date** to process your expense payment, then click on **save.**

That's it! The recurring expense will be automatically added to the **expenses** tab and the corresponding payment amount will be automatically added to your **payments**.

💡 Note
* If you disable a recurring expense, future expenses will not be created and current unpaid or processing expenses will not be impacted.
* If you re-enable, future expenses will be created automatically according to the schedule set."
http://help.remotepass.com/en/articles/5345166-how-to-duplicate-a-contract,How to duplicate a contract?,"Title: How to duplicate a contract?

Learn how to quickly duplicate a contract and save time.

You can easily duplicate a contract and apply changes as needed.

1. Go to the **Contracts** page and click on the duplicate icon.
2. Follow the steps and make changes as needed."
http://help.remotepass.com/en/articles/5241446-how-to-delete-an-equipment,How to delete an equipment?,"How to delete an equipment?
Learn how to delete an equipment.

As a client, you can **delete** an equipment if the contractor has not signed the equipment agreement yet.

1. Go to the contract page and click on the **equipment** tab located to the right of the **time off** tab.
2. Under **actions,** click on **delete.**"
http://help.remotepass.com/en/articles/5123228-how-to-approve-or-reject-an-expense,How to approve or reject an expense?,"How to approve or reject an expense?
Learn how to manage expenses in a few clicks

Written by Sameer B.
Updated over a year ago

As the designated **approver** for the contract, you will receive email notifications whenever there is a need to **approve or decline** items related to a specific contract. These items include expenses, work submissions, invoices, and time off requests. Upon receiving a notification, simply click on the link provided in the email to review the expense or any other item requiring your attention.

* Open **contract details** and select the **Expenses** tab
* Click on **Review**, then decide to approve or decline. _When you approve an expense, the expense amount is automatically added to the current payment cycle. If you reject an expense, you'll need to provide a reason and the team member will be notified._

💡 If the contract is assigned to a **Multi-Level Approval flow**, the next approver in the sequence will be notified to review."
http://help.remotepass.com/en/articles/5241416-how-to-mark-your-equipment-as-returned,How to mark your equipment as returned?,"**How to mark your equipment as returned?**

Learn how to manage returned equipment.

Once your contractor returns the equipment provided by the company, as a client you can mark it as returned.

1. Go to the contract page and click on the **equipment** tab located to the right of the **time off** tab.
2. Under **actions,** click on **mark as returned,** then **proceed.**

When you mark equipment as returned, you claim to have received the equipment back or allowed the user to keep it. The equipment agreement is hence canceled and no longer valid.

That's it! An email notification will be sent to notify your contractor that the equipment has been marked as returned."
